"start time","end time","category","Nth instance","# descriptors","descriptors...","","","","Video Start","Video End"
"00:00:00:00","00:17:19:90","Pre-Arrival","1","0","","","","","0.66111111111111","0.69861111111111"
"00:17:19:90","00:17:20:90","Pt arrival","1","0","","","","","",""
"00:18:12:73","00:20:15:70","Primary","1","0","","","","","",""
"00:20:15:70","00:30:27:60","Secondary","1","0","","","","","",""
"00:30:27:60","00:52:47:23","Post-Secondary","1","0","","","","","",""
"00:52:47:23","00:52:48:23","Pt departure","1","0","","","","","",""
